#Energy      C-K-shell   N-K-shell   Valence  Total
      32000.0000          1.13849639E+04          1.66598399E+04          2.98481014E+02          2.85864848E+02
      33000.0000          1.16863462E+04          1.70951143E+04          3.06674568E+02          2.93698544E+02
      34000.0000          1.19866186E+04          1.75287220E+04          3.14856160E+02          3.01520047E+02
      35000.0000          1.22858230E+04          1.79607256E+04          3.23029970E+02          3.09333234E+02
      36000.0000          1.25847202E+04          1.83911861E+04          3.31164526E+02          3.17109744E+02
      37000.0000          1.28819145E+04          1.88201650E+04          3.39272732E+02          3.24860547E+02
      38000.0000          1.31781445E+04          1.92492596E+04          3.47357878E+02          3.32589605E+02
      39000.0000          1.34741321E+04          1.96753861E+04          3.55432456E+02          3.40307912E+02
      40000.0000          1.37685569E+04          2.01017258E+04          3.63498887E+02          3.48017795E+02
      41000.0000          1.40627640E+04          2.05251972E+04          3.71501716E+02          3.55668359E+02
      42000.0000          1.43554835E+04          2.09489442E+04          3.79522164E+02          3.63334186E+02
      43000.0000          1.46480144E+04          2.13699242E+04          3.87514583E+02          3.70973350E+02
