#Energy      Au   C  Total
      12000.0000          9.91028063E+01          4.22393293E+02          8.02697485E+01
      13000.0000          1.03536291E+02          4.55884012E+02          8.43740198E+01
      13737.9990          1.06741538E+02          4.80469584E+02          8.73383702E+01
      13738.0010          1.06741547E+02          4.80469650E+02          8.73383781E+01
      14000.0000          1.07866488E+02          4.89171434E+02          8.83783133E+01
      14355.9990          1.09384501E+02          5.00973209E+02          8.97812934E+01
      14356.0010          1.09384510E+02          5.00973275E+02          8.97813012E+01
      15000.0000          1.12100652E+02          5.22258447E+02          9.22908060E+01
      16000.0000          1.16245309E+02          5.55147690E+02          9.61185402E+01
      17000.0000          1.20306312E+02          5.87841601E+02          9.98676318E+01
      18000.0000          1.24288909E+02          6.20342459E+02          1.03543432E+02
      19000.0000          1.28197815E+02          6.52652410E+02          1.07150655E+02
      20000.0000          1.32037274E+02          6.84773488E+02          1.10693478E+02
      21000.0000          1.35811118E+02          7.16707634E+02          1.14175629E+02
      22000.0000          1.39522815E+02          7.48456707E+02          1.17600445E+02
      23000.0000          1.43175518E+02          7.80022499E+02          1.20970933E+02
      24000.0000          1.46772094E+02          8.11406739E+02          1.24289811E+02
      25000.0000          1.50315167E+02          8.42611101E+02          1.27559550E+02
      26000.0000          1.53807139E+02          8.73637213E+02          1.30782402E+02
      27000.0000          1.57250219E+02          9.04486659E+02          1.33960426E+02
      28000.0000          1.60646440E+02          9.35160984E+02          1.37095515E+02
      29000.0000          1.63997682E+02          9.65661697E+02          1.40189408E+02
      30000.0000          1.67305686E+02          9.95990275E+02          1.43243716E+02
      31000.0000          1.70572067E+02          1.02614816E+03          1.46259927E+02
      32000.0000          1.73798328E+02          1.05613678E+03          1.49239424E+02
      33000.0000          1.76985871E+02          1.08595753E+03          1.52183494E+02
      34000.0000          1.80136005E+02          1.11561176E+03          1.55093338E+02
      35000.0000          1.83249956E+02          1.14510083E+03          1.57970078E+02
      36000.0000          1.86328873E+02          1.17442606E+03          1.60814765E+02
      37000.0000          1.89373837E+02          1.20358876E+03          1.63628386E+02
      38000.0000          1.92385863E+02          1.23259020E+03          1.66411869E+02
      39000.0000          1.95365910E+02          1.26143166E+03          1.69166087E+02
      40000.0000          1.98314883E+02          1.29011438E+03          1.71891865E+02
      41000.0000          2.01233636E+02          1.31863959E+03          1.74589982E+02
      42000.0000          2.04122981E+02          1.34700851E+03          1.77261176E+02
      43000.0000          2.06983684E+02          1.37522234E+03          1.79906145E+02
      44000.0000          2.09816475E+02          1.40328226E+03          1.82525552E+02
      45000.0000          2.12622048E+02          1.43118943E+03          1.85120029E+02
      46000.0000          2.15401062E+02          1.45894502E+03          1.87690174E+02
      47000.0000          2.18154146E+02          1.48655017E+03          1.90236558E+02
      48000.0000          2.20881899E+02          1.51400600E+03          1.92759728E+02
      49000.0000          2.23584894E+02          1.54131363E+03          1.95260203E+02
      50000.0000          2.26263679E+02          1.56847416E+03          1.97738481E+02
      80728.9990          2.98918883E+02          2.33675766E+03          2.65017721E+02
      80729.0010          2.98918887E+02          2.33675771E+03          2.65017724E+02
