#Energy      Li   Mn   O  Total
       7500.0000          2.45986080E+03          1.36625207E+02          2.05365344E+02          7.93953794E+01
       7600.0000          2.49178879E+03          1.38108860E+02          2.07975405E+02          8.03197105E+01
       7700.0000          2.52369766E+03          1.39589990E+02          2.10583583E+02          8.12427563E+01
       7800.0000          2.55558743E+03          1.41068633E+02          2.13189886E+02          8.21645321E+01
       7900.0000          2.58745812E+03          1.42544821E+02          2.15794323E+02          8.30850530E+01
       8000.0000          2.61930977E+03          1.44018585E+02          2.18396902E+02          8.40043335E+01
       8100.0000          2.65114240E+03          1.45489958E+02          2.20997631E+02          8.49223877E+01
       8200.0000          2.68295605E+03          1.46958969E+02          2.23596518E+02          8.58392294E+01
       8300.0000          2.71475072E+03          1.48425647E+02          2.26193571E+02          8.67548719E+01
       8400.0000          2.74652645E+03          1.49890021E+02          2.28788798E+02          8.76693281E+01
       8500.0000          2.77828327E+03          1.51352119E+02          2.31382206E+02          8.85826107E+01
       8600.0000          2.81002120E+03          1.52811967E+02          2.33973802E+02          8.94947318E+01
       8700.0000          2.84174027E+03          1.54269592E+02          2.36563593E+02          9.04057035E+01
       8800.0000          2.87344049E+03          1.55725019E+02          2.39151587E+02          9.13155373E+01
       8900.0000          2.90512189E+03          1.57178274E+02          2.41737789E+02          9.22242446E+01
       9000.0000          2.93678450E+03          1.58629379E+02          2.44322206E+02          9.31318362E+01
       9100.0000          2.96842834E+03          1.60078359E+02          2.46904845E+02          9.40383230E+01
       9200.0000          3.00005344E+03          1.61525237E+02          2.49485712E+02          9.49437155E+01
       9300.0000          3.03165981E+03          1.62970035E+02          2.52064813E+02          9.58480237E+01
       9400.0000          3.06324747E+03          1.64412774E+02          2.54642154E+02          9.67512576E+01
       9500.0000          3.09481646E+03          1.65853477E+02          2.57217741E+02          9.76534269E+01
       9600.0000          3.12636679E+03          1.67292163E+02          2.59791579E+02          9.85545411E+01
       9700.0000          3.15789849E+03          1.68728854E+02          2.62363675E+02          9.94546093E+01
       9800.0000          3.18941157E+03          1.70163568E+02          2.64934033E+02          1.00353641E+02
       9900.0000          3.22090606E+03          1.71596325E+02          2.67502660E+02          1.01251644E+02
      10000.0000          3.25238197E+03          1.73027144E+02          2.70069559E+02          1.02148627E+02
      11000.0000          3.56612428E+03          1.87232580E+02          2.95644681E+02          1.11064144E+02
      12000.0000          3.87803161E+03          2.01262040E+02          3.21052264E+02          1.19885860E+02
      13000.0000          4.18812268E+03          2.15128739E+02          3.46296266E+02          1.28619834E+02
      14000.0000          4.49641516E+03          2.28843555E+02          3.71380097E+02          1.37271072E+02
      15000.0000          4.80292586E+03          2.42415589E+02          3.96306755E+02          1.45843783E+02
      16000.0000          5.10767093E+03          2.55852566E+02          4.21078913E+02          1.54341550E+02
      17000.0000          5.41066591E+03          2.69161119E+02          4.45698991E+02          1.62767471E+02
      18000.0000          5.71192593E+03          2.82347010E+02          4.70169201E+02          1.71124247E+02
      19000.0000          6.01146567E+03          2.95415290E+02          4.94491589E+02          1.79414259E+02
      20000.0000          6.30929949E+03          3.08370426E+02          5.18668060E+02          1.87639626E+02
      21000.0000          6.60544141E+03          3.21216399E+02          5.42700402E+02          1.95802246E+02
      22000.0000          6.89990520E+03          3.33956783E+02          5.66590304E+02          2.03903834E+02
      23000.0000          7.19270437E+03          3.46594807E+02          5.90339370E+02          2.11945947E+02
      24000.0000          7.48385218E+03          3.59133405E+02          6.13949131E+02          2.19930011E+02
      25000.0000          7.77336171E+03          3.71575258E+02          6.37421050E+02          2.27857334E+02
      26000.0000          8.06124582E+03          3.83922828E+02          6.60756538E+02          2.35729126E+02
      27000.0000          8.34751720E+03          3.96178384E+02          6.83956953E+02          2.43546509E+02
      28000.0000          8.63218835E+03          4.08344030E+02          7.07023607E+02          2.51310531E+02
      29000.0000          8.91527161E+03          4.20421722E+02          7.29957775E+02          2.59022170E+02
      30000.0000          9.19677916E+03          4.32413286E+02          7.52760692E+02          2.66682344E+02
