#Energy      Mg   Co   Ni   Cu   Zn   O  Total
        590.0000          7.50071266E+01          6.43911837E+01          6.53245247E+01          6.63739049E+01          1.00000000E+20          2.57750361E+01          1.02005717E+01
        600.0000          7.60207743E+01          6.48659276E+01          6.57796611E+01          6.68094802E+01          1.00000000E+20          2.61623459E+01          1.03131284E+01
        610.0000          7.70335356E+01          6.53419912E+01          6.62364615E+01          6.72470963E+01          1.00000000E+20          2.65494450E+01          1.04254653E+01
        620.0000          7.80454212E+01          6.58192602E+01          6.66947939E+01          6.76866016E+01          1.00000000E+20          2.69363370E+01          1.05375863E+01
        630.0000          7.90564418E+01          6.62976283E+01          6.71545354E+01          6.81278556E+01          1.00000000E+20          2.73230253E+01          1.06494951E+01
        640.0000          8.00666081E+01          6.67769970E+01          6.76155723E+01          6.85707274E+01          1.00000000E+20          2.77095134E+01          1.07611951E+01
        650.0000          8.10759306E+01          6.72572748E+01          6.80777982E+01          6.90150951E+01          1.00000000E+20          2.80958045E+01          1.08726899E+01
        660.0000          8.20844200E+01          6.77383767E+01          6.85411147E+01          6.94608451E+01          1.00000000E+20          2.84819018E+01          1.09839827E+01
        670.0000          8.30920866E+01          6.82202235E+01          6.90054298E+01          6.99078717E+01          1.00000000E+20          2.88678086E+01          1.10950767E+01
        680.0000          8.40989408E+01          6.87027416E+01          6.94706577E+01          7.03560762E+01          1.00000000E+20          2.92535278E+01          1.12059750E+01
        690.0000          8.51049928E+01          6.91858625E+01          6.99367187E+01          7.08053662E+01          1.00000000E+20          2.96390624E+01          1.13166805E+01
        700.0000          8.61102527E+01          6.96695221E+01          7.04035381E+01          7.12556556E+01          1.00000000E+20          3.00244152E+01          1.14271962E+01
