#Energy      Li-K-shell   F-K-shell   Valence  Total
       9000.0000          9.93675606E+02          1.76159071E+04          1.16377078E+02          1.03563743E+02
       9100.0000          1.00300492E+03          1.77446015E+04          1.17493588E+02          1.04553711E+02
       9200.0000          1.01236642E+03          1.78731265E+04          1.18609264E+02          1.05543356E+02
       9300.0000          1.02171538E+03          1.80014847E+04          1.19718311E+02          1.06527604E+02
       9400.0000          1.03105169E+03          1.81296787E+04          1.20829553E+02          1.07513441E+02
       9500.0000          1.04037560E+03          1.82577110E+04          1.21942228E+02          1.08500265E+02
       9600.0000          1.04968752E+03          1.83855839E+04          1.23051892E+02          1.09484564E+02
       9700.0000          1.05898777E+03          1.85133002E+04          1.24159250E+02          1.10466898E+02
       9800.0000          1.06827655E+03          1.86408620E+04          1.25265460E+02          1.11448188E+02
       9900.0000          1.07755398E+03          1.87682719E+04          1.26370696E+02          1.12428572E+02
      10000.0000          1.08682016E+03          1.88955321E+04          1.27474671E+02          1.13407825E+02
      11000.0000          1.17893446E+03          2.01756628E+04          1.38447776E+02          1.23141663E+02
      12000.0000          1.27005168E+03          2.14553807E+04          1.49308236E+02          1.32775110E+02
      13000.0000          1.36032007E+03          2.27204151E+04          1.60068013E+02          1.42318797E+02
      14000.0000          1.44977691E+03          2.39855937E+04          1.70740446E+02          1.51784314E+02
      15000.0000          1.53858293E+03          2.52379847E+04          1.81328209E+02          1.61175076E+02
      16000.0000          1.62666354E+03          2.64909783E+04          1.91846120E+02          1.70502550E+02
      17000.0000          1.71415382E+03          2.77326377E+04          2.02285151E+02          1.79760629E+02
      18000.0000          1.80107394E+03          2.89753400E+04          2.12660287E+02          1.88961910E+02
      19000.0000          1.88748427E+03          3.01967835E+04          2.22973610E+02          1.98107773E+02
      20000.0000          1.97338890E+03          3.14202120E+04          2.33241504E+02          2.07212197E+02
      21000.0000          2.05882045E+03          3.26454375E+04          2.43443450E+02          2.16259360E+02
      22000.0000          2.14377320E+03          3.38517667E+04          2.53600945E+02          2.25265267E+02
      23000.0000          2.22836257E+03          3.50605819E+04          2.63698726E+02          2.34220096E+02
      24000.0000          2.31253664E+03          3.62618648E+04          2.73764461E+02          2.43144668E+02
      25000.0000          2.39632779E+03          3.74560577E+04          2.83793520E+02          2.52035708E+02
      26000.0000          2.47977957E+03          3.86435637E+04          2.93766423E+02          2.60878354E+02
      27000.0000          2.56290464E+03          3.98247513E+04          3.03713843E+02          2.69696960E+02
      28000.0000          2.64569023E+03          4.10091494E+04          3.13593487E+02          2.78458474E+02
      29000.0000          2.72812304E+03          4.21784876E+04          3.23456956E+02          2.87202601E+02
      30000.0000          2.81032851E+03          4.33513350E+04          3.33292940E+02          2.95922670E+02
      31000.0000          2.89218440E+03          4.45187591E+04          3.43096994E+02          3.04613411E+02
      32000.0000          2.97381574E+03          4.56723028E+04          3.52832412E+02          3.13246882E+02
      33000.0000          3.05509728E+03          4.68296804E+04          3.62581824E+02          3.21887657E+02
      34000.0000          3.13617294E+03          4.79907738E+04          3.72292663E+02          3.30495899E+02
      35000.0000          3.21707030E+03          4.91387197E+04          3.81951873E+02          3.39060832E+02
      36000.0000          3.29765147E+03          5.02822823E+04          3.91612030E+02          3.47622768E+02
      37000.0000          3.37797194E+03          5.14216316E+04          4.01236770E+02          3.56153679E+02
      38000.0000          3.45814121E+03          5.25650129E+04          4.10855864E+02          3.64678635E+02
      39000.0000          3.53809640E+03          5.36962752E+04          4.20419629E+02          3.73157020E+02
      40000.0000          3.61782725E+03          5.48317194E+04          4.29969986E+02          3.81622533E+02
      41000.0000          3.69733515E+03          5.59554502E+04          4.39511100E+02          3.90077700E+02
      42000.0000          3.77662858E+03          5.70834678E+04          4.48997678E+02          3.98487716E+02
